Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;Одеяло;Холфит;;"AlViTek (АльВиТек)";Россия;Комфорт;ОБТФН-О-15;140х205;Легкое;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048004289;;"Набивной рисунок,может отличаться от цвета на фото";;;;"ОБТФН-О-15  Одеяло 140х205 легкое";11;499;http://alvitek.com.ru/upload/iblock/c5f/c5f21393be61fa69ca3f5d36240e6392.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол -ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
;Наматрасник;Полиуритан;;"AlViTek (АльВиТек)";Россия;;МПУ-6-80;80х200;;Упругая;;;;;"6 см";Пенополиуритан;;;"18 кг/куб.м";;;Микрофибра;"100%  пэ";Молния;;;Резинка;;Кант;Пакет;;;;;4607048003800;;"Набивной рисунок,может отличаться от цвета на фото";;;;"МПУ-6-080 Наматрацник ""Полиуритан"" (80х200х6)";8;956;http://alvitek.com.ru/upload/iblock/b90/b90da995b3fefbacc202c8a46fa998af.jpeg;"матрас полиуретановый, чехол - на молнии с резинками, ткань - микрофибра , наполнитель - полиэфир (вспененный полиуретан повышенной плотности), высота - 6см, бирка, упаковка - пленка ПЭ"
;Простыня;;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-20;180х214;;;;;;Обычная;;;;;;;;Бязь;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048005033;;"Набивной рисунок,может отличаться от цвета на фото";;;;"Простынь 180*214 ткань хлопок ПР-20";45;359;http://alvitek.com.ru/upload/iblock/950/95061e76c8ff0a9e6beb7af3c795b06a.jpeg;"ткань-бязь(хлопок 100%), бирка, постер, пакет"
;Подушка;Антикризис;;"AlViTek (АльВиТек)";Россия;;СП-060;60х60;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,56 кг";;;Спанбонд;"100%  полипропилен";;;;;;;Пакет;;;;;2000702370270;;Белый;;;;"СП-060 Подушка 60х60 чехол спанбонд нап. холфит(500гр)";22;143;http://alvitek.com.ru/upload/iblock/ac8/ac89a12076b4e1ed4890c1025d4d33fe.jpeg;"подушка с наполнителем ""Холфит-шарики""   (500 гр. полое силиконизированное волокно 15Dx64  ), чехол - ткань спандбонд (100% ПЭ), без канта, бирка"
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9202";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521022;;;;;;"9202 Кофе В  (40х60)х2шт в коробке Набор кухонный Метеор";13;197;http://alvitek.com.ru/upload/iblock/5ee/5eea0bea443ca4c43efa8ce6d1ddf0aa.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9203";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521039;;;;;;"9203 Фрукты В  (40х60)х2шт в коробке Набор кухонный Метеор";15;202;http://alvitek.com.ru/upload/iblock/27e/27e832dafe8d97f4389678301f1b9f5e.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -9221";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521060;;;;;;"9221 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";16;281;http://alvitek.com.ru/upload/iblock/5e1/5e153f02586415477fcbf677756d3c61.jpeg;
;"Набор полотенец";;;"Метеор Текстиль";Турция;;"Метеор -8393";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521053;;;;;;"8393 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";26;281;http://alvitek.com.ru/upload/iblock/71e/71e99f44192a2d726bcea429b1862618.jpeg;
;"Набор полотенец";;;MERZUKA;Турция;;"MERZUKA-9230 Светло-лил";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521121;;;;;;"9230 Светло-лиловый  BOTANIK  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";1;674;http://alvitek.com.ru/upload/iblock/148/148f8a4ecc2f31e0c1d1d00cae6df3c7.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;Сайлид-L-1,5-4;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514666;;;;;;"L-4 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/6a7/6a7ce7869766ae000c96a449a41d9495.jpeg;
