Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;Наматрасник;Холкон;;"AlViTek (АльВиТек)";Россия;;МХУ-9-180;180х200;;Упругая;;;;;"9 см";Холкон;;;"1800 гр/кв.м";;;Полисатин;"100%  пэ";Молния;;;;;Кант;Пакет;;;;;4607047011806;;"Набивной рисунок,может отличаться от цвета на фото";;;;"МХУ-9-180 Матрас ""Холкон"" 180х200х9";2;2286;http://alvitek.com.ru/upload/iblock/671/671feb04c103a02038935a5f02564d72.jpeg;"матрас Холлкон, чехол на молнии, стежка - ""Ультрастеп"" (ткань - ПЭ,синтепон 100 г/кв.м) , наполнитель - Холкон 1400, высота - 9см, бирка, упаковка - пленка ПЭ"
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-05/220-JG057/2;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014172;;"Набивной рисунок";;Микрофибра;;"ПКС-05/220-JG057/2 Покрывало ""Комфорт"" 220х210";7;851;http://alvitek.com.ru/upload/iblock/957/957ff817294b38ac5efe7bb4b4a0683b.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-06/220-JG068/1;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014189;;"Набивной рисунок";;Микрофибра;;"ПКС-06/220-JG068/1 Покрывало ""Комфорт"" 220х210";4;851;http://alvitek.com.ru/upload/iblock/833/83386bce3eaf84def6ba176021be843e.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-07/220-a3248/5;220х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014196;;"Набивной рисунок";;Микрофибра;;"ПКС-07/220-a3248/5 Покрывало ""Комфорт"" 220х210";6;851;http://alvitek.com.ru/upload/iblock/3f9/3f9a9715ee5cc5f8557b7209c97be5ab.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-01/240-JG118/1;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014202;;"Набивной рисунок";;Микрофибра;;"ПКС-01/240-JG118/1 Покрывало ""Комфорт"" 240х210";7;893;http://alvitek.com.ru/upload/iblock/49c/49cdd756056b779ac5ddad635d15de1e.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-02/240-JG117/1;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014219;;"Набивной рисунок";;Микрофибра;;"ПКС-02/240-JG117/1 Покрывало ""Комфорт"" 240х210";6;893;http://alvitek.com.ru/upload/iblock/98b/98bda392625d5fb8f249fe60bc4d8a76.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-03/240-a3247/6;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014226;;"Набивной рисунок";;Микрофибра;;"ПКС-03/240-a3247/6 Покрывало ""Комфорт"" 240х210";6;893;http://alvitek.com.ru/upload/iblock/1e2/1e2211d267b9a56c95628ef05f54221b.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-04/240-JG277/10;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014233;;"Набивной рисунок";;Микрофибра;;"ПКС-04/240-JG277/10 Покрывало ""Комфорт"" 240х210";6;893;http://alvitek.com.ru/upload/iblock/d61/d615f2416f703d004e4825f3b10f0727.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-05/240-JG057/2;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014240;;"Набивной рисунок";;Микрофибра;;"ПКС-05/240-JG057/2 Покрывало ""Комфорт"" 240х210";7;893;http://alvitek.com.ru/upload/iblock/c3b/c3b51e626b1752b34a7c66b9d24bb2e6.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-06/240-JG068/1;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014257;;"Набивной рисунок";;Микрофибра;;"ПКС-06/240-JG068/1 Покрывало ""Комфорт"" 240х210";7;893;http://alvitek.com.ru/upload/iblock/0ff/0ffcedc1b2cb2619cd3f64318d892bb9.jpeg;
;Покрывало;Комфорт;;"AlViTek (АльВиТек)";Россия;;ПКС-07/240-a3248/5;240х210;;;;;;;;Холфит-пласт;;;"100 гр/кв.м";;;Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048014264;;"Набивной рисунок";;Микрофибра;;"ПКС-07/240-a3248/5 Покрывало ""Комфорт"" 240х210";5;893;http://alvitek.com.ru/upload/iblock/ff9/ff95334aa82aa3af428574398d4809a0.jpeg;
;"Простыня на резинке";"Простыня трикотажная на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-Ж-200;200х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;4607048009338;;"Нежно желтый";;;;"ПТР-Ж-200 Нежно желтый простыня трикотажная на резинке 200х200х20";3;544;http://alvitek.com.ru/upload/iblock/0ed/0edf75f6bcd00ce99268bca2f83b1954.jpeg;
;"Простыня на резинке";"Простыня трикотажная на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПТР-Р-200;200х200+20;;;;;;"На резинке";;;;;;;;Трикотаж;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;120г/м;4607048009345;;Розовый;;;;"ПТР-Р-200 Розовая простыня трикотажная на резинке 200х200х20";10;544;http://alvitek.com.ru/upload/iblock/644/6443eb2fcafc701f712e0895edb9b9d7.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-22-154/2;Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000863387896;;;;;;"A-154/2 КПБ евро поплин ""САЙЛИД""";2;1829;http://alvitek.com.ru/upload/iblock/ec6/ec67f6ce5de4dc9134e6dfa5c8e8a4fe.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-24-154/1;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";150х215-2шт.;220х250;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000863387926;;;;;;"A-154/1 КПБ семейный поплин ""САЙЛИД""";2;2243;http://alvitek.com.ru/upload/iblock/bd8/bd81999e74d7ac37b33fd17bf5e8ceb1.jpeg;
;;;;;;;АльВиТек-CA-4-085;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562353;;;;;;"CA-4-085  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";10;1604;http://alvitek.com.ru/upload/iblock/8fe/8fecebad871377d7e9e5a1fe3113a5de.jpeg;
;;;;;;;АльВиТек-CA-4-086;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562360;;;;;;"CA-4-086  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";3;1604;http://alvitek.com.ru/upload/iblock/4f5/4f573394237338bc9bf6ff0e263f9bc2.jpeg;
;;;;;;;АльВиТек-CA-4-087;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562377;;;;;;"CA-4-087  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";6;1604;http://alvitek.com.ru/upload/iblock/54a/54acb39c328c09252081579e51b03b77.jpeg;
;;;;;;;АльВиТек-CA-4-088;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562384;;;;;;"CA-4-088  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";13;1604;http://alvitek.com.ru/upload/iblock/190/1903fadd4e0455be5c46224a1c2bbb2e.jpeg;
;;;;;;;АльВиТек-CA-4-089;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562391;;;;;;"CA-4-089  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";9;1604;http://alvitek.com.ru/upload/iblock/84b/84bfc8b30708dcf018d1f0f96038a254.jpeg;
;;;;;;;АльВиТек-CA-4-090;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562407;;;;;;"CA-4-090  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";10;1604;http://alvitek.com.ru/upload/iblock/706/706cf00b2ae377069dfe85bca8ebca4f.jpeg;
;;;;;;;АльВиТек-CA-4-091;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562414;;;;;;"CA-4-091  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";8;1604;http://alvitek.com.ru/upload/iblock/09f/09f0f3ce94b490ea3ef22a47da3ab1e1.jpeg;
;;;;;;;АльВиТек-CA-4-092;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562421;;;;;;"CA-4-092  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";13;1604;http://alvitek.com.ru/upload/iblock/dc8/dc8eac2571374a81bdf8cd8efc5f9859.jpeg;
;;;;;;;АльВиТек-CA-4-093;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562438;;;;;;"CA-4-093  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";13;1604;http://alvitek.com.ru/upload/iblock/6ba/6ba4d7ab781b6e8cb2898156d30017f6.jpeg;
;;;;;;;АльВиТек-CA-4-094;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562445;;;;;;"CA-4-094  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";9;1604;http://alvitek.com.ru/upload/iblock/cd1/cd177542c73f09d2c5ebaa4dd89ed2b4.jpeg;
;;;;;;;АльВиТек-CA-4-095;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562452;;;;;;"CA-4-095  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";11;1604;http://alvitek.com.ru/upload/iblock/70b/70b46600ca51c1ce900df0b99ed2b1a7.jpeg;
;;;;;;;АльВиТек-CA-4-096;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562469;;;;;;"CA-4-096  КПБ 2сп Сатин печатный + нав-ки ( 70х70х2 шт ) ""АльВиТек""";13;1604;http://alvitek.com.ru/upload/iblock/ab2/ab2ff583c0713ce3b6957cbb201cd66a.jpeg;
;;;;;;;АльВиТек-CA-6-064;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562551;;;;;;"CA-6-064 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";11;1872;http://alvitek.com.ru/upload/iblock/e47/e478d1d21f4bec48e5960da2cd9eb598.jpeg;
;;;;;;;АльВиТек-CA-6-065;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562568;;;;;;"CA-6-065 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";9;1872;http://alvitek.com.ru/upload/iblock/8ed/8ed391039aa34543a864a9b28c4dd8fb.jpeg;
;;;;;;;АльВиТек-CA-6-066;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562575;;;;;;"CA-6-066 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";12;1872;http://alvitek.com.ru/upload/iblock/c26/c269dc87c4e8bf73016d9ae3c683ef27.jpeg;
;;;;;;;АльВиТек-CA-6-067;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562582;;;;;;"CA-6-067 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";11;1872;http://alvitek.com.ru/upload/iblock/6fb/6fb2513330fded92f78bcd4ebc59dae9.jpeg;
;;;;;;;АльВиТек-CA-6-068;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562599;;;;;;"CA-6-068 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";10;1872;http://alvitek.com.ru/upload/iblock/338/338ff68b8db5240bb2e16f57be571676.jpeg;
;;;;;;;АльВиТек-CA-6-069;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562605;;;;;;"CA-6-069 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";4;1872;http://alvitek.com.ru/upload/iblock/f6c/f6c46cd2a4d612a0b61720bf19f3acd4.jpeg;
;;;;;;;АльВиТек-CA-6-070;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562612;;;;;;"CA-6-070 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";13;1872;http://alvitek.com.ru/upload/iblock/f53/f530dbb0b4637c117121ce86da04bd0c.jpeg;
;;;;;;;АльВиТек-CA-6-071;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562629;;;;;;"CA-6-071 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";3;1872;http://alvitek.com.ru/upload/iblock/5a2/5a2b67e6aa686ddd341ac3630b5faaa5.jpeg;
;;;;;;;АльВиТек-CA-6-072;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562636;;;;;;"CA-6-072 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";14;1872;http://alvitek.com.ru/upload/iblock/f5b/f5b6ceda5caa1b75f8c04155fe4b170a.jpeg;
;;;;;;;АльВиТек-CA-6-073;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562643;;;;;;"CA-6-073 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";8;1872;http://alvitek.com.ru/upload/iblock/1ea/1ea3083003451bdc5a2276b824865930.jpeg;
;;;;;;;АльВиТек-CA-6-074;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562650;;;;;;"CA-6-074 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";11;1872;http://alvitek.com.ru/upload/iblock/15a/15acd023dbac1e096af1e5d7f9b2eda7.jpeg;
;;;;;;;АльВиТек-CA-6-075;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562667;;;;;;"CA-6-075 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";17;1872;http://alvitek.com.ru/upload/iblock/4a1/4a1ad092d734be2c58225cd613867a03.jpeg;
;;;;;;;АльВиТек-CA-6-076;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562674;;;;;;"CA-6-076 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";10;1872;http://alvitek.com.ru/upload/iblock/4a8/4a89106f184c8c146d66fb0e3385c43c.jpeg;
;;;;;;;АльВиТек-CA-6-077;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562681;;;;;;"CA-6-077 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";12;1872;http://alvitek.com.ru/upload/iblock/03f/03fc9304c3f8c69491877beab39554a9.jpeg;
;;;;;;;АльВиТек-CA-6-078;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562698;;;;;;"CA-6-078 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";17;1872;http://alvitek.com.ru/upload/iblock/626/626f70256bccf8eea76faa449797b16f.jpeg;
;;;;;;;АльВиТек-CA-6-079;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562704;;;;;;"CA-6-079 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";13;1872;http://alvitek.com.ru/upload/iblock/50c/50c870b918b31ca6faba82759ed32d65.jpeg;
;;;;;;;АльВиТек-CA-6-080;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562711;;;;;;"CA-6-080 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";14;1872;http://alvitek.com.ru/upload/iblock/6d6/6d686ef38451576922ef0ef54bf89e22.jpeg;
;;;;;;;АльВиТек-CA-6-081;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562728;;;;;;"CA-6-081 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";10;1872;http://alvitek.com.ru/upload/iblock/579/579e6a25ef28bb1a16df63f1f12a4630.jpeg;
;;;;;;;АльВиТек-CA-6-082;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925562735;;;;;;"CA-6-082 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";6;1872;http://alvitek.com.ru/upload/iblock/cc8/cc87767dc0bf7d6550e4460770a353e0.jpeg;
;Одеяло;Хлопок;;"AlViTek (АльВиТек)";Россия;Люкс;ОХП-О-22;200х220;Легкое;;;;;;;Хлопок,пэ;;;"200 гр/кв.м";;;Сатин;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048004555;;Кремовый;;;;"ОХП-О-22  Одеяло ""СОНАТА"" 200х210";8;2108;http://alvitek.com.ru/upload/iblock/f7e/f7e89ec26bbf4d5cfe0e91465a75bfab.jpeg;"одеяло с наполнителем хлопковое волокно 200 г/кв.м, чехол (100% хлопок)- сатин или перкаль (персиковый), окантовка-косая бейка, уголок, флажок, бирка, постер, в чемодане"
;Полотенце;;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9749 MAIRA";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537528;;;;;;"9749 MAIRA  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";3;979;http://alvitek.com.ru/upload/iblock/e2e/e2e9fe2ec7b5ca2534f19feb4f18bca1.jpeg;
;Полотенце;;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9761 MAIRA";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537573;;;;;;"9761 MAIRA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";4;2073;http://alvitek.com.ru/upload/iblock/355/355d208fd62d81839a760c30ff040439.jpeg;
;Полотенце;;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9757 ELA";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537566;;;;;;"9757 ELA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";4;2073;http://alvitek.com.ru/upload/iblock/5dc/5dccc1cd6281247bfacef90a6d920c0e.jpeg;
;Полотенце;;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9745 ELA";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537511;;;;;;"9745 ELA  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";4;979;http://alvitek.com.ru/upload/iblock/621/6213ab27db36054e80a732b2bc4a8287.jpeg;
;Наматрасник;Сахара;;"AlViTek (АльВиТек)";Россия;;НВШР-080;80х200;;;;;;;;"Верблюжья шерсть,пэ";;;"300 гр/кв.м";;;Тик;"100% хлопок";;;;Резинка;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048007167;;Кремовый;;;;"НВШР-080  Наматрасник с резинкой ""Сахара"" 80х200";4;1023;http://alvitek.com.ru/upload/iblock/d12/d126a356c8b5c54067c397ec235502a8.jpeg;"наматрасник на резинке с наполнителем из верблюжьей шерсти 300 г/кв.м, чехол (100 % хлопок)- ткань тик (бежевый) , окантовка косая бейка, бирка, постер, в чемодане"
;"Комплект постельного белья";;;СайлиД;Китай;;А-20-169;Двуспальное;;;"70х70 (2шт.)";180х215;200х215;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499857;;;;;;"A-169 КПБ 2 сп поплин ""САЙЛИД""";2;1582;http://alvitek.com.ru/upload/iblock/326/32683967bc4b63120b4a7ecdb3b89628.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-20-171;Двуспальное;;;"70х70 (2шт.)";180х215;200х215;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499864;;;;;;"A-171 КПБ 2 сп поплин ""САЙЛИД""";1;1582;http://alvitek.com.ru/upload/iblock/2fa/2fa72341c5e29b720e9b1c4a855a9d73.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-20-173;Двуспальное;;;"70х70 (2шт.)";180х215;200х215;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499871;;;;;;"A-173 КПБ 2 сп поплин ""САЙЛИД""";3;1582;http://alvitek.com.ru/upload/iblock/e0e/e0e582bf6fa1eec54eaf0d8d6a03af60.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-22-134;Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499963;;;;;;"A-134 КПБ евро поплин ""САЙЛИД""";1;1829;http://alvitek.com.ru/upload/iblock/03d/03d3a5645edb01e6b6c01c40079e045b.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-22-172(1);Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925500003;;;;;;"A-172(1) КПБ евро поплин ""САЙЛИД""";2;1829;http://alvitek.com.ru/upload/iblock/cb2/cb2f290aaa142a57b62b9141943efe7d.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-22-172(2);Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925500010;;;;;;"A-172(2) КПБ евро поплин ""САЙЛИД""";1;1829;http://alvitek.com.ru/upload/iblock/28b/28b7335eda48e0fdc73e19631d78498f.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;А-22-173;Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925500027;;;;;;"A-173 КПБ евро поплин ""САЙЛИД""";2;1829;http://alvitek.com.ru/upload/iblock/19e/19e7beac1a730c24c4278f1711a1e447.jpeg;
;"Набор полотенец";;;АРТЕКС;Китай;;АР-41943+K-234-небесный;32х72;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925503042;;;;;;"41943+K-234 Небесный 32х72х2шт в коробке Набор кухонных полотенец  АРТЕКС";36;216;http://alvitek.com.ru/upload/iblock/e10/e10d0638a2f009061c8baecef2dfd75f.jpeg;
;Подушка;"""Лебяжий пух""";;"AlViTek (АльВиТек)";Россия;Стандарт;ПЛП-5050;50х50;;Упругая;;;;;;"Искусственный ""Лебяжий пух""";;;"0,65 кг";;;Тик;"100% хлопок";Молния;;;;;Кант;Пакет;;;;;4607048006245;;"Голубой с перьями";;;;"ПЛП-5050  Подушка ""ЛЕБЯЖИЙ ПУХ"" 50х50";11;256;http://alvitek.com.ru/upload/iblock/efd/efdb2b8d253768e4562bde2033164fad.jpeg;"подушка чехол с молнией, ткань 100% хлопок- тик пуходержащий, наполнитель ""Лебяжий пух"" ( 0,65кг полое извитое высокосиликонизированное микроволокно), кант, уголок, бирка, фложок, постер, в пакете"
;"Комплект постельного белья";;;Экзотика;Россия;;Э-С5-семья-Суматра;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Сатин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000888597720;;;;;;"Суматра КПБ Семья сп сатин ""Экзотика """;1;2296;http://alvitek.com.ru/upload/iblock/c88/c883b2543af63cdb73654233fa322292.jpeg;
;Одеяло;Бамбук;;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-ЛС-15;140х205;Свехлегкое;;;;;;;"Бамбуковое волокно,пэ";;;"100 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048010051;;Салатовый;;;;"ОСБ-ЛС-15 Одеяло ""Бамбук-Лето-Стандарт"" 140х205";14;1119;http://alvitek.com.ru/upload/iblock/2d3/2d37afa353a28874b749124438738481.jpeg;"одеяло с наполнителем из бамбукового волокна 100 г/кв.м, чехол - сатин или перкаль, окантовка-косая бейка, уголок, бирка, постер, в чемодане"
;Одеяло;Бамбук;;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-ЛС-20;172х205;Свехлегкое;;;;;;;"Бамбуковое волокно,пэ";;;"100 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048010068;;Салатовый;;;;"ОСБ-ЛС-20 Одеяло ""Бамбук-Лето-Стандарт"" 172х205";18;1327;http://alvitek.com.ru/upload/iblock/d8a/d8adbfbd92c2cc6ccbfc802158ca037e.jpeg;"одеяло с наполнителем из бамбукового волокна 100 г/кв.м, чехол - сатин или перкаль, окантовка-косая бейка, уголок, бирка, постер, в чемодане"
